Card Name,Card Number,Arcana Type,Suit,Element,Astrological Influence,Chakra Focus,Spiritual Theme,Life Area,Emotional Tone,Channeled Description,Upright Meaning,Reversed Meaning,Affirmation,Journal Prompt,Image URL Placeholder
King of Cups,14,Minor Arcana,Cups,Water,TBD,Heart,Exploring cups through daily life experiences,Emotions & Relationships,Feelings and relationships,"A divine whisper flows from the cups realm, speaking of feelings and relationships through the archetype of the King.","The King of Cups brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the King of Cups invites reflection on blocked energies or misalignment.",I embrace the feelings and relationships within the cups with grace.,What lessons is the King of Cups revealing to me today?,
Ace of Wands,1,Minor Arcana,Wands,Fire,TBD,Solar Plexus,Exploring wands through daily life experiences,Creativity & Career,Passion and energy,"A divine whisper flows from the wands realm, speaking of passion and energy through the archetype of the Ace.","The Ace of Wands brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Ace of Wands invites reflection on blocked energies or misalignment.",I embrace the passion and energy within the wands with grace.,What lessons is the Ace of Wands revealing to me today?,
Two of Wands,2,Minor Arcana,Wands,Fire,TBD,Solar Plexus,Exploring wands through daily life experiences,Creativity & Career,Passion and energy,"A divine whisper flows from the wands realm, speaking of passion and energy through the archetype of the Two.","The Two of Wands brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Two of Wands invites reflection on blocked energies or misalignment.",I embrace the passion and energy within the wands with grace.,What lessons is the Two of Wands revealing to me today?,
Three of Wands,3,Minor Arcana,Wands,Fire,TBD,Solar Plexus,Exploring wands through daily life experiences,Creativity & Career,Passion and energy,"A divine whisper flows from the wands realm, speaking of passion and energy through the archetype of the Three.","The Three of Wands brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Three of Wands invites reflection on blocked energies or misalignment.",I embrace the passion and energy within the wands with grace.,What lessons is the Three of Wands revealing to me today?,
Four of Wands,4,Minor Arcana,Wands,Fire,TBD,Solar Plexus,Exploring wands through daily life experiences,Creativity & Career,Passion and energy,"A divine whisper flows from the wands realm, speaking of passion and energy through the archetype of the Four.","The Four of Wands brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Four of Wands invites reflection on blocked energies or misalignment.",I embrace the passion and energy within the wands with grace.,What lessons is the Four of Wands revealing to me today?,
Five of Wands,5,Minor Arcana,Wands,Fire,TBD,Solar Plexus,Exploring wands through daily life experiences,Creativity & Career,Passion and energy,"A divine whisper flows from the wands realm, speaking of passion and energy through the archetype of the Five.","The Five of Wands brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Five of Wands invites reflection on blocked energies or misalignment.",I embrace the passion and energy within the wands with grace.,What lessons is the Five of Wands revealing to me today?,
Six of Wands,6,Minor Arcana,Wands,Fire,TBD,Solar Plexus,Exploring wands through daily life experiences,Creativity & Career,Passion and energy,"A divine whisper flows from the wands realm, speaking of passion and energy through the archetype of the Six.","The Six of Wands brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Six of Wands invites reflection on blocked energies or misalignment.",I embrace the passion and energy within the wands with grace.,What lessons is the Six of Wands revealing to me today?,
Seven of Wands,7,Minor Arcana,Wands,Fire,TBD,Solar Plexus,Exploring wands through daily life experiences,Creativity & Career,Passion and energy,"A divine whisper flows from the wands realm, speaking of passion and energy through the archetype of the Seven.","The Seven of Wands brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Seven of Wands invites reflection on blocked energies or misalignment.",I embrace the passion and energy within the wands with grace.,What lessons is the Seven of Wands revealing to me today?,
Eight of Wands,8,Minor Arcana,Wands,Fire,TBD,Solar Plexus,Exploring wands through daily life experiences,Creativity & Career,Passion and energy,"A divine whisper flows from the wands realm, speaking of passion and energy through the archetype of the Eight.","The Eight of Wands brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Eight of Wands invites reflection on blocked energies or misalignment.",I embrace the passion and energy within the wands with grace.,What lessons is the Eight of Wands revealing to me today?,
Nine of Wands,9,Minor Arcana,Wands,Fire,TBD,Solar Plexus,Exploring wands through daily life experiences,Creativity & Career,Passion and energy,"A divine whisper flows from the wands realm, speaking of passion and energy through the archetype of the Nine.","The Nine of Wands brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Nine of Wands invites reflection on blocked energies or misalignment.",I embrace the passion and energy within the wands with grace.,What lessons is the Nine of Wands revealing to me today?,
Ten of Wands,10,Minor Arcana,Wands,Fire,TBD,Solar Plexus,Exploring wands through daily life experiences,Creativity & Career,Passion and energy,"A divine whisper flows from the wands realm, speaking of passion and energy through the archetype of the Ten.","The Ten of Wands brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Ten of Wands invites reflection on blocked energies or misalignment.",I embrace the passion and energy within the wands with grace.,What lessons is the Ten of Wands revealing to me today?,
Page of Wands,11,Minor Arcana,Wands,Fire,TBD,Solar Plexus,Exploring wands through daily life experiences,Creativity & Career,Passion and energy,"A divine whisper flows from the wands realm, speaking of passion and energy through the archetype of the Page.","The Page of Wands brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Page of Wands invites reflection on blocked energies or misalignment.",I embrace the passion and energy within the wands with grace.,What lessons is the Page of Wands revealing to me today?,
Knight of Wands,12,Minor Arcana,Wands,Fire,TBD,Solar Plexus,Exploring wands through daily life experiences,Creativity & Career,Passion and energy,"A divine whisper flows from the wands realm, speaking of passion and energy through the archetype of the Knight.","The Knight of Wands brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Knight of Wands invites reflection on blocked energies or misalignment.",I embrace the passion and energy within the wands with grace.,What lessons is the Knight of Wands revealing to me today?,
Queen of Wands,13,Minor Arcana,Wands,Fire,TBD,Solar Plexus,Exploring wands through daily life experiences,Creativity & Career,Passion and energy,"A divine whisper flows from the wands realm, speaking of passion and energy through the archetype of the Queen.","The Queen of Wands brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Queen of Wands invites reflection on blocked energies or misalignment.",I embrace the passion and energy within the wands with grace.,What lessons is the Queen of Wands revealing to me today?,
King of Wands,14,Minor Arcana,Wands,Fire,TBD,Solar Plexus,Exploring wands through daily life experiences,Creativity & Career,Passion and energy,"A divine whisper flows from the wands realm, speaking of passion and energy through the archetype of the King.","The King of Wands brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the King of Wands invites reflection on blocked energies or misalignment.",I embrace the passion and energy within the wands with grace.,What lessons is the King of Wands revealing to me today?,
Ace of Swords,1,Minor Arcana,Swords,Air,TBD,Throat,Exploring swords through daily life experiences,Thoughts & Communication,Intellect and conflict,"A divine whisper flows from the swords realm, speaking of intellect and conflict through the archetype of the Ace.","The Ace of Swords brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Ace of Swords invites reflection on blocked energies or misalignment.",I embrace the intellect and conflict within the swords with grace.,What lessons is the Ace of Swords revealing to me today?,
Two of Swords,2,Minor Arcana,Swords,Air,TBD,Throat,Exploring swords through daily life experiences,Thoughts & Communication,Intellect and conflict,"A divine whisper flows from the swords realm, speaking of intellect and conflict through the archetype of the Two.","The Two of Swords brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Two of Swords invites reflection on blocked energies or misalignment.",I embrace the intellect and conflict within the swords with grace.,What lessons is the Two of Swords revealing to me today?,
Three of Swords,3,Minor Arcana,Swords,Air,TBD,Throat,Exploring swords through daily life experiences,Thoughts & Communication,Intellect and conflict,"A divine whisper flows from the swords realm, speaking of intellect and conflict through the archetype of the Three.","The Three of Swords brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Three of Swords invites reflection on blocked energies or misalignment.",I embrace the intellect and conflict within the swords with grace.,What lessons is the Three of Swords revealing to me today?,
Four of Swords,4,Minor Arcana,Swords,Air,TBD,Throat,Exploring swords through daily life experiences,Thoughts & Communication,Intellect and conflict,"A divine whisper flows from the swords realm, speaking of intellect and conflict through the archetype of the Four.","The Four of Swords brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Four of Swords invites reflection on blocked energies or misalignment.",I embrace the intellect and conflict within the swords with grace.,What lessons is the Four of Swords revealing to me today?,
Five of Swords,5,Minor Arcana,Swords,Air,TBD,Throat,Exploring swords through daily life experiences,Thoughts & Communication,Intellect and conflict,"A divine whisper flows from the swords realm, speaking of intellect and conflict through the archetype of the Five.","The Five of Swords brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Five of Swords invites reflection on blocked energies or misalignment.",I embrace the intellect and conflict within the swords with grace.,What lessons is the Five of Swords revealing to me today?,
Six of Swords,6,Minor Arcana,Swords,Air,TBD,Throat,Exploring swords through daily life experiences,Thoughts & Communication,Intellect and conflict,"A divine whisper flows from the swords realm, speaking of intellect and conflict through the archetype of the Six.","The Six of Swords brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Six of Swords invites reflection on blocked energies or misalignment.",I embrace the intellect and conflict within the swords with grace.,What lessons is the Six of Swords revealing to me today?,
Seven of Swords,7,Minor Arcana,Swords,Air,TBD,Throat,Exploring swords through daily life experiences,Thoughts & Communication,Intellect and conflict,"A divine whisper flows from the swords realm, speaking of intellect and conflict through the archetype of the Seven.","The Seven of Swords brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Seven of Swords invites reflection on blocked energies or misalignment.",I embrace the intellect and conflict within the swords with grace.,What lessons is the Seven of Swords revealing to me today?,
Eight of Swords,8,Minor Arcana,Swords,Air,TBD,Throat,Exploring swords through daily life experiences,Thoughts & Communication,Intellect and conflict,"A divine whisper flows from the swords realm, speaking of intellect and conflict through the archetype of the Eight.","The Eight of Swords brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Eight of Swords invites reflection on blocked energies or misalignment.",I embrace the intellect and conflict within the swords with grace.,What lessons is the Eight of Swords revealing to me today?,
Nine of Swords,9,Minor Arcana,Swords,Air,TBD,Throat,Exploring swords through daily life experiences,Thoughts & Communication,Intellect and conflict,"A divine whisper flows from the swords realm, speaking of intellect and conflict through the archetype of the Nine.","The Nine of Swords brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Nine of Swords invites reflection on blocked energies or misalignment.",I embrace the intellect and conflict within the swords with grace.,What lessons is the Nine of Swords revealing to me today?,
Ten of Swords,10,Minor Arcana,Swords,Air,TBD,Throat,Exploring swords through daily life experiences,Thoughts & Communication,Intellect and conflict,"A divine whisper flows from the swords realm, speaking of intellect and conflict through the archetype of the Ten.","The Ten of Swords brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Ten of Swords invites reflection on blocked energies or misalignment.",I embrace the intellect and conflict within the swords with grace.,What lessons is the Ten of Swords revealing to me today?,
Page of Swords,11,Minor Arcana,Swords,Air,TBD,Throat,Exploring swords through daily life experiences,Thoughts & Communication,Intellect and conflict,"A divine whisper flows from the swords realm, speaking of intellect and conflict through the archetype of the Page.","The Page of Swords brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Page of Swords invites reflection on blocked energies or misalignment.",I embrace the intellect and conflict within the swords with grace.,What lessons is the Page of Swords revealing to me today?,
Knight of Swords,12,Minor Arcana,Swords,Air,TBD,Throat,Exploring swords through daily life experiences,Thoughts & Communication,Intellect and conflict,"A divine whisper flows from the swords realm, speaking of intellect and conflict through the archetype of the Knight.","The Knight of Swords brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Knight of Swords invites reflection on blocked energies or misalignment.",I embrace the intellect and conflict within the swords with grace.,What lessons is the Knight of Swords revealing to me today?,
Queen of Swords,13,Minor Arcana,Swords,Air,TBD,Throat,Exploring swords through daily life experiences,Thoughts & Communication,Intellect and conflict,"A divine whisper flows from the swords realm, speaking of intellect and conflict through the archetype of the Queen.","The Queen of Swords brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Queen of Swords invites reflection on blocked energies or misalignment.",I embrace the intellect and conflict within the swords with grace.,What lessons is the Queen of Swords revealing to me today?,
King of Swords,14,Minor Arcana,Swords,Air,TBD,Throat,Exploring swords through daily life experiences,Thoughts & Communication,Intellect and conflict,"A divine whisper flows from the swords realm, speaking of intellect and conflict through the archetype of the King.","The King of Swords brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the King of Swords invites reflection on blocked energies or misalignment.",I embrace the intellect and conflict within the swords with grace.,What lessons is the King of Swords revealing to me today?,
Ace of Pentacles,1,Minor Arcana,Pentacles,Earth,TBD,Root,Exploring pentacles through daily life experiences,Finances & Physical World,Security and material world,"A divine whisper flows from the pentacles realm, speaking of security and material world through the archetype of the Ace.","The Ace of Pentacles brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Ace of Pentacles invites reflection on blocked energies or misalignment.",I embrace the security and material world within the pentacles with grace.,What lessons is the Ace of Pentacles revealing to me today?,
Two of Pentacles,2,Minor Arcana,Pentacles,Earth,TBD,Root,Exploring pentacles through daily life experiences,Finances & Physical World,Security and material world,"A divine whisper flows from the pentacles realm, speaking of security and material world through the archetype of the Two.","The Two of Pentacles brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Two of Pentacles invites reflection on blocked energies or misalignment.",I embrace the security and material world within the pentacles with grace.,What lessons is the Two of Pentacles revealing to me today?,
Three of Pentacles,3,Minor Arcana,Pentacles,Earth,TBD,Root,Exploring pentacles through daily life experiences,Finances & Physical World,Security and material world,"A divine whisper flows from the pentacles realm, speaking of security and material world through the archetype of the Three.","The Three of Pentacles brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Three of Pentacles invites reflection on blocked energies or misalignment.",I embrace the security and material world within the pentacles with grace.,What lessons is the Three of Pentacles revealing to me today?,
Four of Pentacles,4,Minor Arcana,Pentacles,Earth,TBD,Root,Exploring pentacles through daily life experiences,Finances & Physical World,Security and material world,"A divine whisper flows from the pentacles realm, speaking of security and material world through the archetype of the Four.","The Four of Pentacles brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Four of Pentacles invites reflection on blocked energies or misalignment.",I embrace the security and material world within the pentacles with grace.,What lessons is the Four of Pentacles revealing to me today?,
Five of Pentacles,5,Minor Arcana,Pentacles,Earth,TBD,Root,Exploring pentacles through daily life experiences,Finances & Physical World,Security and material world,"A divine whisper flows from the pentacles realm, speaking of security and material world through the archetype of the Five.","The Five of Pentacles brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Five of Pentacles invites reflection on blocked energies or misalignment.",I embrace the security and material world within the pentacles with grace.,What lessons is the Five of Pentacles revealing to me today?,
Six of Pentacles,6,Minor Arcana,Pentacles,Earth,TBD,Root,Exploring pentacles through daily life experiences,Finances & Physical World,Security and material world,"A divine whisper flows from the pentacles realm, speaking of security and material world through the archetype of the Six.","The Six of Pentacles brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Six of Pentacles invites reflection on blocked energies or misalignment.",I embrace the security and material world within the pentacles with grace.,What lessons is the Six of Pentacles revealing to me today?,
Seven of Pentacles,7,Minor Arcana,Pentacles,Earth,TBD,Root,Exploring pentacles through daily life experiences,Finances & Physical World,Security and material world,"A divine whisper flows from the pentacles realm, speaking of security and material world through the archetype of the Seven.","The Seven of Pentacles brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Seven of Pentacles invites reflection on blocked energies or misalignment.",I embrace the security and material world within the pentacles with grace.,What lessons is the Seven of Pentacles revealing to me today?,
Eight of Pentacles,8,Minor Arcana,Pentacles,Earth,TBD,Root,Exploring pentacles through daily life experiences,Finances & Physical World,Security and material world,"A divine whisper flows from the pentacles realm, speaking of security and material world through the archetype of the Eight.","The Eight of Pentacles brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Eight of Pentacles invites reflection on blocked energies or misalignment.",I embrace the security and material world within the pentacles with grace.,What lessons is the Eight of Pentacles revealing to me today?,
Nine of Pentacles,9,Minor Arcana,Pentacles,Earth,TBD,Root,Exploring pentacles through daily life experiences,Finances & Physical World,Security and material world,"A divine whisper flows from the pentacles realm, speaking of security and material world through the archetype of the Nine.","The Nine of Pentacles brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Nine of Pentacles invites reflection on blocked energies or misalignment.",I embrace the security and material world within the pentacles with grace.,What lessons is the Nine of Pentacles revealing to me today?,
Ten of Pentacles,10,Minor Arcana,Pentacles,Earth,TBD,Root,Exploring pentacles through daily life experiences,Finances & Physical World,Security and material world,"A divine whisper flows from the pentacles realm, speaking of security and material world through the archetype of the Ten.","The Ten of Pentacles brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Ten of Pentacles invites reflection on blocked energies or misalignment.",I embrace the security and material world within the pentacles with grace.,What lessons is the Ten of Pentacles revealing to me today?,
Page of Pentacles,11,Minor Arcana,Pentacles,Earth,TBD,Root,Exploring pentacles through daily life experiences,Finances & Physical World,Security and material world,"A divine whisper flows from the pentacles realm, speaking of security and material world through the archetype of the Page.","The Page of Pentacles brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Page of Pentacles invites reflection on blocked energies or misalignment.",I embrace the security and material world within the pentacles with grace.,What lessons is the Page of Pentacles revealing to me today?,
Knight of Pentacles,12,Minor Arcana,Pentacles,Earth,TBD,Root,Exploring pentacles through daily life experiences,Finances & Physical World,Security and material world,"A divine whisper flows from the pentacles realm, speaking of security and material world through the archetype of the Knight.","The Knight of Pentacles brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Knight of Pentacles invites reflection on blocked energies or misalignment.",I embrace the security and material world within the pentacles with grace.,What lessons is the Knight of Pentacles revealing to me today?,
Queen of Pentacles,13,Minor Arcana,Pentacles,Earth,TBD,Root,Exploring pentacles through daily life experiences,Finances & Physical World,Security and material world,"A divine whisper flows from the pentacles realm, speaking of security and material world through the archetype of the Queen.","The Queen of Pentacles brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Queen of Pentacles invites reflection on blocked energies or misalignment.",I embrace the security and material world within the pentacles with grace.,What lessons is the Queen of Pentacles revealing to me today?,
King of Pentacles,14,Minor Arcana,Pentacles,Earth,TBD,Root,Exploring pentacles through daily life experiences,Finances & Physical World,Security and material world,"A divine whisper flows from the pentacles realm, speaking of security and material world through the archetype of the King.","The King of Pentacles brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the King of Pentacles invites reflection on blocked energies or misalignment.",I embrace the security and material world within the pentacles with grace.,What lessons is the King of Pentacles revealing to me today?,
