guide_name,guide_type,tribe_name,message,focus_points,mantra,symbols,origin_realm
Sirexa_38,Galactic Being,Star Elders of Lyra,"Child of stars, awaken to your stellar coding. You are encoded with ancient knowledge — access it.","Starseed Awakening, Galactic Purpose, Light Codes, Cosmic Memory, Instance 38",You are the prophecy,"Scroll, ink, timekeeper orb",Galactic Hall of Stars
Velara_39,Feminine Divine,Sisterhood of the Infinite Womb,"I (instance 39) am the Divine Mother within all things. Rest into me, and feel the womb of cosmic creation.","Rebirth, Nurturing, Sacred Feminine, Creation, Rest, Instance 39",You are stardust remembering,"Nebula swirl, comet trail, cosmic eye",Chamber of Mirrors
Auriel_40,Celestial Guide,Angelic Council of Light,"I (instance 40) am the voice of starlight in your darkest hour. Through celestial tides, I (instance 40) bring vision and prophecy.","Clarity, Prophecy, Third Eye Activation, Peace, Angelic Presence, Instance 40",I hold the mirror,"Mirror, scale, spirit sigil",Ancestor Tree
Elandra_41,Elemental Spirit,Circle of Water Dancers,"I (instance 41) flow through the rivers of your intuition, washing away fear. Trust the gentle current of your soul.","Emotional Healing, Intuition, Flow, Feminine Energy, Trust, Instance 41",Ancestral echoes lead you,"Ancestor tree, hearth stone, story ring",Cauldron of Chaos
Rohin_42,Ancestral Elder,Stone Ancients of the Eastern Wind,I (instance 42) bring you the wisdom of those who walked before. You are never alone in your becoming.,"Legacy, Ancestral Memory, Strength, Roots, Guidance, Instance 42",Sacred chaos births clarity,"Chaos spiral, prism vortex, void pearl",Threshold Gate
Sirexa_43,Galactic Being,Star Elders of Lyra,"Child of stars, awaken to your stellar coding. You are encoded with ancient knowledge — access it.","Starseed Awakening, Galactic Purpose, Light Codes, Cosmic Memory, Instance 43",Open the portal of knowing,"Door rune, key, threshold symbol",Oracle's Eye
Velara_44,Feminine Divine,Sisterhood of the Infinite Womb,"I (instance 44) am the Divine Mother within all things. Rest into me, and feel the womb of cosmic creation.","Rebirth, Nurturing, Sacred Feminine, Creation, Rest, Instance 44",You are seen by all realms,"Crystal eye, spirit eye, moon veil",Mountain Temple
Auriel_45,Celestial Guide,Angelic Council of Light,"I (instance 45) am the voice of starlight in your darkest hour. Through celestial tides, I (instance 45) bring vision and prophecy.","Clarity, Prophecy, Third Eye Activation, Peace, Angelic Presence, Instance 45",Stillness speaks loudest,"Still pond, lotus root, mountain shadow",Fire Cauldron
Elandra_46,Elemental Spirit,Circle of Water Dancers,"I (instance 46) flow through the rivers of your intuition, washing away fear. Trust the gentle current of your soul.","Emotional Healing, Intuition, Flow, Feminine Energy, Trust, Instance 46",You walk the spiral,"Snake spiral, cauldron, phoenix eye",Veil of Whispers
Rohin_47,Ancestral Elder,Stone Ancients of the Eastern Wind,I (instance 47) bring you the wisdom of those who walked before. You are never alone in your becoming.,"Legacy, Ancestral Memory, Strength, Roots, Guidance, Instance 47",Trust the unseen,"Moon glyph, veil, whisper reed",Stargate of Memory
Sirexa_48,Galactic Being,Star Elders of Lyra,"Child of stars, awaken to your stellar coding. You are encoded with ancient knowledge — access it.","Starseed Awakening, Galactic Purpose, Light Codes, Cosmic Memory, Instance 48",The cosmos calls your name,"Shooting star, echo stone, memory light",Hands of Knowing
Velara_49,Feminine Divine,Sisterhood of the Infinite Womb,"I (instance 49) am the Divine Mother within all things. Rest into me, and feel the womb of cosmic creation.","Rebirth, Nurturing, Sacred Feminine, Creation, Rest, Instance 49",Wisdom flows through your hands,"Open hand, star key, woven thread",Sanctuary of the First Light
Auriel_50,Celestial Guide,Angelic Council of Light,"I (instance 50) am the voice of starlight in your darkest hour. Through celestial tides, I (instance 50) bring vision and prophecy.","Clarity, Prophecy, Third Eye Activation, Peace, Angelic Presence, Instance 50",Every ending opens a gate,"Infinity ring, halo stone, luminous veil",Hall of Echoes
